name,nominal_pct,nonmonetary_pct,cash_bail_pct,ror_pct,unsecured_pct,total_cases,cash_bail_cases,ror_cases,avg_bail_amount,non_posting_rate,cash_bail_pct_black,cash_bail_cases_black,cash_bail_pct_white,cash_bail_cases_white,bail_amount_black,bail_amount_white,is_outlier,denied_pct
Adams,0.0007648183556,0.002294455067,0.2210325048,0.475334608,0.2971319312,2615,578,1243,5000,0.2210325048,0.2850241546,118,0.2107933579,457,7500,5000,,0.0034416826
Allegheny,0.0005042864347,0.3893091276,0.2571860817,0.2436867218,0.04767446371,25779,6630,6282,5000,0.2571860817,0.3078872347,3888,0.2099425471,2631,5000,5000,,0.06163931883
Armstrong,0,0.01221640489,0.4293193717,0.3467132054,0.2100058173,1719,738,596,10000,0.4293193717,0.5046728972,54,0.4237824162,670,5000,10000,,0.001745200698
Beaver,0.009729992703,0.01459498905,0.4646071515,0.4054974459,0.09924592557,4111,1910,1667,10000,0.4646071515,0.5702811245,710,0.4245665806,1151,15000,10000,,0.006324495257
Bedford,0,0,0.3781048758,0.01195952162,0.5998160074,1087,411,13,35000,0.3781048758,0.4747474747,47,0.3658787256,356,35000,30000,,0.01011959522
Berks,0.001056214059,0.03884520596,0.4026522709,0.156554395,0.3961976294,8521,3431,1334,10000,0.4026522709,0.475625,761,0.387662534,2564,10000,10000,,0.004694284708
Blair,0,0,0.3633440514,0.0002296738631,0.6316031236,4354,1582,1,30000,0.3633440514,0.5148026316,313,0.3396017699,1228,40000,25000,,0.004823151125
Bradford,0,0.2283172721,0.5804299481,0.03187546331,0.1556708673,1349,783,43,45000,0.5804299481,0.7,21,0.5791505792,750,50000,42500,,0.003706449222
Bucks,8.86E-05,0.003986534373,0.3200744153,0.1172927002,0.5559886605,11288,3613,1324,35000,0.3200744153,0.3939637827,979,0.3008839128,2553,50000,30000,,0.002569099929
Butler,0.007177720356,0.1998277347,0.2962962963,0.4206144129,0.06948033305,3483,1032,1465,15000,0.2962962963,0.467268623,207,0.2706741946,815,20000,10000,,0.006603502728
Cambria,0,0.004884856943,0.400209351,0.1601535241,0.429867411,2866,1147,459,30000,0.400209351,0.5412979351,367,0.356741573,762,50000,25000,,0.004884856943
Cameron,0,0,0.4069767442,0,0.5697674419,86,35,0,30000,0.4069767442,0.5,1,0.4125,33,30000,25000,,0.02325581395
Carbon,0.001033591731,0.0005167958656,0.3266149871,0.2273901809,0.4382428941,1935,632,440,5000,0.3266149871,0.3878787879,64,0.3212226067,557,40000,5000,,0.006201550388
Centre,0,0.0008438818565,0.2244725738,0.5907172996,0.1320675105,2370,532,1400,10000,0.2244725738,0.2849315068,104,0.2198619225,414,10000,10000,,0.05189873418
Chester,0.01673640167,0,0.3522351905,0.2306760625,0.3972693239,9082,3199,2095,10000,0.3522351905,0.4149348362,1178,0.3278008299,1975,15000,10000,,0.003083021361
Clarion,0.001025641026,0,0.3784615385,0.4041025641,0.2153846154,975,369,394,10000,0.3784615385,0.5365853659,44,0.3635321101,317,15000,10000,,0.001025641026
Clearfield,0,0.0004557885141,0.4188696445,0.0004557885141,0.5670009116,2194,919,1,10000,0.4188696445,0.5806451613,54,0.4096209913,843,25000,10000,,0.01321786691
Clinton,0,0,0.3539445629,0.1855010661,0.4520255864,938,332,174,10000,0.3539445629,0.4,30,0.3489461358,298,22500,10000,,0.008528784648
Columbia,0,0,0.2728418399,0.2255828607,0.4984247007,1587,433,358,10000,0.2728418399,0.3636363636,68,0.2605531295,358,25000,10000,,0.003150598614
Crawford,0.0004782400765,0.1047345768,0.3261597322,0.4414155906,0.1209947394,2091,682,923,15000,0.3261597322,0.4874371859,97,0.3097155126,577,20000,15000,,0.006217120995
Cumberland,0.000524567232,0.001223990208,0.3306522119,0.371568456,0.2836160168,5719,1891,2125,7500,0.3306522119,0.3933246073,601,0.3107669248,1244,8000,7000,,0.01241475782
Dauphin,0.000727338849,0.005818710792,0.3723974907,0.1474679516,0.4565869625,10999,4096,1622,15000,0.3723974907,0.4334608844,2039,0.32637967,1721,20000,10000,,0.0170015456
Delaware,0.01689132967,0.002745881178,0.5349475786,0.005741387918,0.4337660176,12018,6429,69,35000,0.5349475786,0.5861440292,3858,0.4766179541,2283,50000,25000,,0.005907804959
Elk,0,0,0.3048635824,0,0.6927639383,843,257,0,10000,0.3048635824,0.3125,5,0.3004926108,244,25000,10000,,0.002372479241
Erie,0.000594530321,0.003864447087,0.4766646849,0.3049940547,0.2083828775,6728,3207,2052,10000,0.4766646849,0.6082427536,1343,0.412037037,1780,10000,10000,,0.00549940547
